127.0.0.1 - - [25/Sep/2018:20:39:00 -0300] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:33 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_gloss-wave_25_333333_500x100.png.xhtml?ln=primefaces-ui-darkness HTTP/1.1" 200 1874
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:33 -0300] "GET /livraria/javax.faces.resource/images/ui-icons_ffffff_256x240.png.xhtml?ln=primefaces-ui-darkness HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:33 -0300] "GET /livraria/javax.faces.resource/images/ui-icons_cccccc_256x240.png.xhtml?ln=primefaces-ui-darkness HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:33 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_inset-soft_25_000000_1x100.png.xhtml?ln=primefaces-ui-darkness HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:33 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_gloss-wave_35_f6a828_500x100.png.xhtml?ln=primefaces-ui-lightness HTTP/1.1" 200 3762
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:33 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_glass_100_f6f6f6_1x400.png.xhtml?ln=primefaces-ui-lightness HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:33 -0300] "GET /livraria/javax.faces.resource/images/ui-icons_ef8c08_256x240.png.xhtml?ln=primefaces-ui-lightness HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:33 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_glass_65_ffffff_1x400.png.xhtml?ln=primefaces-ui-lightness HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:33 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_highlight-soft_100_eeeeee_1x100.png.xhtml?ln=primefaces-ui-lightness HTTP/1.1" 200 90
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:33 -0300] "POST /livraria/livro.xhtml HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:33 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_glass_100_fdf5ce_1x400.png.xhtml?ln=primefaces-ui-lightness HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:34 -0300] "POST /livraria/livro.xhtml HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:34 -0300] "GET /livraria/javax.faces.resource/theme.css.xhtml?ln=primefaces-vader HTTP/1.1" 200 18311
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:34 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_gloss-wave_16_121212_500x100.png.xhtml?ln=primefaces-vader HTTP/1.1" 200 2399
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:34 -0300] "GET /livraria/javax.faces.resource/images/ui-icons_666666_256x240.png.xhtml?ln=primefaces-vader HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:34 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_inset-soft_15_121212_1x100.png.xhtml?ln=primefaces-vader HTTP/1.1" 200 140
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:34 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_highlight-hard_15_888888_1x100.png.xhtml?ln=primefaces-vader HTTP/1.1" 200 95
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:34 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_highlight-soft_60_dddddd_1x100.png.xhtml?ln=primefaces-vader HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:34 -0300] "GET /livraria/javax.faces.resource/images/ui-icons_c98000_256x240.png.xhtml?ln=primefaces-vader HTTP/1.1" 200 5355
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:34 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_highlight-soft_35_adadad_1x100.png.xhtml?ln=primefaces-vader HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:35 -0300] "POST /livraria/livro.xhtml HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:35 -0300] "POST /livraria/livro.xhtml HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:36 -0300] "POST /livraria/livro.xhtml HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:36 -0300] "POST /livraria/livro.xhtml HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:36 -0300] "POST /livraria/livro.xhtml HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:55 -0300] "POST /livraria/livro.xhtml HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:55 -0300] "POST /livraria/livro.xhtml HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:55 -0300] "GET /livraria/autor.xhtml HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:55 -0300] "GET /livraria/autor.xhtml HTTP/1.1" 200 21090
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:55 -0300] "GET /livraria/javax.faces.resource/images/ui-icons_d19405_256x240.png.xhtml?ln=primefaces-sunny HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:59 -0300] "GET /livraria/javax.faces.resource/images/ui-icons_eb990f_256x240.png.xhtml?ln=primefaces-sunny HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:40:01 -0300] "POST /livraria/autor.xhtml HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:40:01 -0300] "GET /livraria/vendas.xhtml HTTP/1.1" 200 13821
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:40:01 -0300] "GET /livraria/javax.faces.resource/charts/charts.css.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 200 3532
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:40:01 -0300] "GET /livraria/javax.faces.resource/charts/charts.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 200 330300
