127.0.0.1 - - [08/Oct/2018:16:16:51 -0300] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:22 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_glass_75_dadada_1x400.png.xhtml?ln=primefaces-smoothness HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:22 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_glass_75_e6e6e6_1x400.png.xhtml?ln=primefaces-smoothness HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:22 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_flat_75_ffffff_40x100.png.xhtml?ln=primefaces-smoothness HTTP/1.1" 200 178
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:23 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_glass_65_ffffff_1x400.png.xhtml?ln=primefaces-smoothness HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:23 -0300] "GET /livraria/javax.faces.resource/images/ui-icons_222222_256x240.png.xhtml?ln=primefaces-smoothness HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:25 -0300] "POST /livraria/vendas.xhtml HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:25 -0300] "GET /livraria/livro.xhtml HTTP/1.1" 200 31200
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:25 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_highlight-soft_75_cccccc_1x100.png.xhtml?ln=primefaces-smoothness HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:26 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_glass_55_fbf9ee_1x400.png.xhtml?ln=primefaces-smoothness HTTP/1.1" 200 120
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:28 -0300] "POST /livraria/livro.xhtml HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:28 -0300] "GET /livraria/javax.faces.resource/theme.css.xhtml?ln=primefaces-sam HTTP/1.1" 200 19704
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:28 -0300] "GET /livraria/javax.faces.resource/primefaces-sam/images/ui-bg_flat_75_ffffff_40x100.png.xhtml HTTP/1.1" 200 178
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:28 -0300] "GET /livraria/javax.faces.resource/primefaces-sam/images/sprite.png.xhtml HTTP/1.1" 200 3745
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:28 -0300] "GET /livraria/javax.faces.resource/primefaces-sam/images/ui-icons_454545_256x240.png.xhtml HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:28 -0300] "GET /livraria/javax.faces.resource/primefaces-sam/images/ui-default.png.xhtml HTTP/1.1" 200 3721
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:28 -0300] "GET /livraria/javax.faces.resource/primefaces-sam/images/ui-icons_888888_256x240.png.xhtml HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:28 -0300] "POST /livraria/livro.xhtml HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:28 -0300] "GET /livraria/javax.faces.resource/theme.css.xhtml?ln=primefaces-rocket HTTP/1.1" 200 19633
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:28 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_highlight-soft_15_242122_1x100.png.xhtml?ln=primefaces-rocket HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:28 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_flat_100_f1f1f1_40x100.png.xhtml?ln=primefaces-rocket HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:28 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_highlight-soft_15_9eca38_1x100.png.xhtml?ln=primefaces-rocket HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:28 -0300] "GET /livraria/javax.faces.resource/images/ui-icons_00a6dd_256x240.png.xhtml?ln=primefaces-rocket HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:28 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_highlight-soft_35_00a6dd_1x100.png.xhtml?ln=primefaces-rocket HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:28 -0300] "GET /livraria/javax.faces.resource/images/ui-icons_fafafa_256x240.png.xhtml?ln=primefaces-rocket HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:29 -0300] "POST /livraria/livro.xhtml HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:29 -0300] "GET /livraria/javax.faces.resource/theme.css.xhtml?ln=primefaces-redmond HTTP/1.1" 200 18588
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:29 -0300] "GET /livraria/javax.faces.resource/images/ui-icons_6da8d5_256x240.png.xhtml?ln=primefaces-redmond HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:29 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_inset-hard_100_f5f8f9_1x100.png.xhtml?ln=primefaces-redmond HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:29 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_gloss-wave_55_5c9ccc_500x100.png.xhtml?ln=primefaces-redmond HTTP/1.1" 200 3457
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:29 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_glass_85_dfeffc_1x400.png.xhtml?ln=primefaces-redmond HTTP/1.1" 200 123
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:29 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_inset-hard_100_fcfdfd_1x100.png.xhtml?ln=primefaces-redmond HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:29 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_glass_75_d0e5f5_1x400.png.xhtml?ln=primefaces-redmond HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:29 -0300] "GET /livraria/javax.faces.resource/images/ui-icons_217bc0_256x240.png.xhtml?ln=primefaces-redmond HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:30 -0300] "POST /livraria/livro.xhtml HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:30 -0300] "GET /livraria/javax.faces.resource/theme.css.xhtml?ln=primefaces-pepper-grinder HTTP/1.1" 200 18768
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:30 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_fine-grain_65_654b24_60x60.png.xhtml?ln=primefaces-pepper-grinder HTTP/1.1" 200 7369
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:30 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_fine-grain_10_eceadf_60x60.png.xhtml?ln=primefaces-pepper-grinder HTTP/1.1" 200 4429
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:30 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_fine-grain_10_f8f7f6_60x60.png.xhtml?ln=primefaces-pepper-grinder HTTP/1.1" 200 3149
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:30 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_fine-grain_15_ffffff_60x60.png.xhtml?ln=primefaces-pepper-grinder HTTP/1.1" 200 3716
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:30 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_fine-grain_15_eceadf_60x60.png.xhtml?ln=primefaces-pepper-grinder HTTP/1.1" 200 4391
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:30 -0300] "GET /livraria/javax.faces.resource/images/ui-icons_b83400_256x240.png.xhtml?ln=primefaces-pepper-grinder HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:30 -0300] "GET /livraria/javax.faces.resource/images/ui-icons_ffffff_256x240.png.xhtml?ln=primefaces-pepper-grinder HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:30 -0300] "POST /livraria/livro.xhtml HTTP/1.1" 200 464
